Date,ABI.BR,AD.AS,ADSGn.DE,ADYEN.AS,AIR.PA,AIRP.PA,ALVG.DE,ASML.AS,AXAF.PA,BASFn.DE,BAYGn.DE,BBVA.MC,BMWG.DE,BNPP.PA,CRH.I,DANO.PA,DB1Gn.DE,DPWGn.DE,DTEGn.DE,ENEI.MI,ENI.MI,ESLX.PA,FLTRF.I,HRMS.PA,IBE.MC,IFXGn.DE,INGA.AS,ISP.MI,ITX.MC,LINI.DE,LVMH.PA,MBGn.DE,MUVGn.DE,NDAFI.HE,NOKIA.HE,OREP.PA,PERP.PA,PRTP.PA,PRX.AS,SAF.PA,SAN.MC,SAPG.DE,SASY.PA,SCHN.PA,SGEF.PA,SIEGn.DE,STLAM.MI,TTEF.PA,VNAn.DE,VOWG_p.DE
2013-01-02,1724170,1664113,920809,#N/A N/A,1526764,1320255,1981426,1726916,7566960,3250775,3563174,193616372,2354195,3604846,1589799,1673754,827331,3906645,14382870,52110634,13761293,617302,7550,16407,61213414,6312233,20737174,261306309,6402505,#N/A N/A,737152,4720976,762933,724362,41017031,655291,424887,299084,#N/A N/A,705192,84000846,3638604,2358355,1365696,1976015,2940780,#N/A N/A,5127884,#N/A N/A,78055
2013-01-03,1246147,1321429,567658,#N/A N/A,802652,805401,1007067,1167359,4905268,1913819,1409998,428965488,1519799,1719620,1238250,1309227,547247,2784952,8422179,30855394,7401928,268613,14238,23190,38515894,6222969,11470993,159885874,4055610,#N/A N/A,467638,2342646,479212,477858,26075712,464918,254853,255385,#N/A N/A,279394,31495626,1627871,1547913,829946,1435165,1540951,#N/A N/A,2898938,#N/A N/A,45931
2013-01-04,1343025,2103902,626946,#N/A N/A,1547823,652159,895029,1152784,4498179,1871591,1582377,187381545,1136437,1969483,886707,1177188,496718,2745349,11524611,29303232,9300502,385889,8557,44563,104449702,7658495,12032064,180207603,8884885,#N/A N/A,564865,3238283,397345,268034,23073050,408067,272545,240894,#N/A N/A,352880,83893130,2846437,1692994,1081207,1575197,1505477,#N/A N/A,3317539,#N/A N/A,61725
2013-01-07,1246207,3596289,573823,#N/A N/A,1370626,729741,1248811,1525202,5135647,1921566,1852422,62646225,1288665,4186011,960098,1339844,737809,3142987,9960157,30017738,9584290,416999,7547,65288,33860375,9299734,22912160,218873822,6516385,#N/A N/A,510513,5169510,482694,725867,28271044,504076,371835,270303,#N/A N/A,565457,100312608,2368026,2055484,849059,1311218,1498861,#N/A N/A,4191402,#N/A N/A,46327
2013-01-08,1916113,2386552,545005,#N/A N/A,1911342,604254,1384459,1114938,9049989,1845561,1496536,55669154,2291326,4068024,1630041,1172185,606151,3122135,10439006,27537396,7367873,359242,15336,22050,37794570,5684924,15408519,216713093,7581295,#N/A N/A,463908,3368617,769168,2393333,51630208,306864,241990,206043,#N/A N/A,485394,205138027,2073543,1629504,1257049,998306,1471758,#N/A N/A,2661710,#N/A N/A,46511
2013-01-09,2240987,1505006,752095,#N/A N/A,3593140,858817,2090911,861688,6576805,2034111,1581234,171379330,2283158,4651803,2159857,1305774,880494,3828423,24767722,29326985,10331095,354342,11589,33513,42548322,5889154,17515375,242401442,4831885,#N/A N/A,733785,3682225,590716,421114,52151620,467242,343184,482665,#N/A N/A,457751,102533012,2597014,1496965,867523,1248813,1445313,#N/A N/A,3292952,#N/A N/A,115040
2013-01-10,1917173,1961524,844633,#N/A N/A,2723918,981188,1467393,1280065,6382970,1787290,1428236,520224807,1828257,4345922,1992618,1258239,1019804,3575953,15589494,32531121,10578649,323959,14089,38295,33279221,9387280,21033024,330106543,3531295,#N/A N/A,759358,3507143,624107,360897,191192260,450257,629404,298350,#N/A N/A,401781,110171041,2811753,1918959,1548839,1234472,1993204,#N/A N/A,3608802,#N/A N/A,99786
2013-01-11,1358338,2766324,525946,#N/A N/A,1641004,1114238,1195296,1094227,5241178,1695456,1392680,106402542,1701070,4009052,1273830,1144799,667126,3403535,10795937,38250038,9436717,350317,14808,26169,19120497,4475976,15543409,238701062,6790925,#N/A N/A,476392,3099453,478845,334531,58218506,452964,376047,149497,#N/A N/A,409553,64367965,2987152,1430440,763857,1116325,1942517,#N/A N/A,3145847,#N/A N/A,54292
2013-01-14,1161712,2327646,729694,#N/A N/A,1102963,874340,1226520,858789,5263893,2308523,1444825,66260077,2005640,3295970,888153,1127432,685490,3987599,8683885,42733354,9010046,375474,12376,31167,44252540,4353679,13658915,216751137,4583500,#N/A N/A,630617,3829310,639925,538742,53671249,302420,355522,353253,#N/A N/A,370718,75250525,2024393,1442464,872687,965015,2024630,#N/A N/A,3061695,#N/A N/A,56418
2013-01-15,1546758,1774671,832336,#N/A N/A,1452018,1448899,1575422,1718078,6595532,2471952,1583543,40294171,1549660,5905055,1151454,1714516,584995,3277585,10493799,31941534,8851207,461401,6509,31814,52620932,9547404,14964424,223480944,5972745,#N/A N/A,735021,4593380,544268,608526,36854354,482192,600202,424161,#N/A N/A,437712,171651418,8829393,2361834,1267071,1598955,2206133,#N/A N/A,4311762,#N/A N/A,44915
